RACE,DATE,COND,DIST,SURF,FIN,ODDS,HORSE,JOCKEY,TRAINER,SIRE,BR-SIRE,LAST RACE,WATCH,NOTES,START_TIME,END_TIME
10,2016-08-29,MCL,6.0,D,6,11.9,Ecliptical Jack,"Franco, Manuel","Baker, Charlton",Cat Thief,Ecliptical,,,,2016-08-29 22:00:00,2016-08-29 22:01:18.000
10,2016-08-29,MCL,6.0,D,7,8.1,Irish Marauder,"Cancel, Eric","Weaver, George",Dublin,Stephen Got Even,,,,2016-08-29 22:00:00,2016-08-29 22:01:18.000
10,2016-08-29,MCL,6.0,D,8,1.05,Helluva Choice,"Ortiz, Irad","Asmussen, Steven",Wildcat Heir,Tactical Cat,SAR 1-8/1/16 2,,,2016-08-29 22:00:00,2016-08-29 22:01:18.000
10,2016-08-29,MCL,6.0,D,9,11.0,Blue Xanadu,"Ortiz, Jose","Guillot, Eric",Shackleford,Maria's Mon,,,,2016-08-29 22:00:00,2016-08-29 22:01:18.000
10,2016-08-29,MCL,6.0,D,10,20.8,Tiz Always His Way,"Santana, Ricardo","Schettino, Dominick",Tizway,Pancho Villa,SAR 1-8/1/16 5,,,2016-08-29 22:00:00,2016-08-29 22:01:18.000
9,2016-08-31,GRD-F,8.5,T,1,1.65,Made You Look,"Castellano, Javier","Pletcher, Todd",More Than Ready,Unbridled's Song,BEL 2-6/18/16 1,,,2016-08-31 21:00:00,2016-08-31 21:01:50.500
9,2016-08-31,GRD-F,8.5,T,2,1.9,Keep Quiet (FR),"Geroux, Florent","Casse, Mark",Elusive City,Sillery,SAR 1-8/6/16 1,,,2016-08-31 21:00:00,2016-08-31 21:01:50.500
9,2016-08-31,GRD-F,8.5,T,3,16.1,Bird's Eye View,"Ortiz, Irad","Dini, Michael",Mizzen Mast,Smarty Jones,MTH 5-8/20/16 1,,,2016-08-31 21:00:00,2016-08-31 21:01:50.500
9,2016-08-31,GRD-F,8.5,T,4,27.5,Monsoon K S A,"Arroyo, Angel","Lynch, Cathal",Candy Ride (ARG),Stormy Atlantic,DEL 5-8/6/16 1,,,2016-08-31 21:00:00,2016-08-31 21:01:50.500
9,2016-08-31,GRD-F,8.5,T,5,4.9,My Bo Chop (FR),"Bravo, Joe","Delacour, Arnaud",Myboycharlie (IRE),Precise End,VHY 8/6/16 4,,,2016-08-31 21:00:00,2016-08-31 21:01:50.500
9,2016-08-31,GRD-F,8.5,T,6,11.2,Tell the Truth,"Ortiz, Jose","Motion, Graham",Tizway,Quiet American,DEL 8-7/20/16 1,,,2016-08-31 21:00:00,2016-08-31 21:01:50.500
9,2016-08-31,GRD-F,8.5,T,7,7.9,Ardmore Bay,"Franco, Manuel","Morley, Thomas",Bluegrass Cat,Candy Ride (ARG),MTH 9-8/7/16 1,,,2016-08-31 21:00:00,2016-08-31 21:01:50.500
9,2016-08-31,GRD-F,8.5,T,8,48.5,Gemologister,"Cancel, Eric","Mejia, Jaime",Gemologist,Rahy,SAR 3-8/19/16 4,,,2016-08-31 21:00:00,2016-08-31 21:01:50.500
10,2016-08-31,MCL-F,6.0,D,1,12.0,Arella Rockstar,"Franco, Manuel","Nicks, Ralph",Astrology,Old Fashioned,,,,2016-08-31 22:00:00,2016-08-31 22:01:18.000
10,2016-08-31,MCL-F,6.0,D,2,5.6,Honor Way,"Velazquez, John","Pletcher, Todd",Caleb's Posse,Yes It's True,,,,2016-08-31 22:00:00,2016-08-31 22:01:18.000
10,2016-08-31,MCL-F,6.0,D,3,8.8,Banty's Girl,"Davis, Dylan","Albertrani, Thomas",Shackleford,Mass Media,SAR 3-8/4/16 5,,,2016-08-31 22:00:00,2016-08-31 22:01:18.000
10,2016-08-31,MCL-F,6.0,D,4,5.3,Loose,"DeCarlo, Chris","Schosberg, Richard",Gone Astray,Meadowlake,,,,2016-08-31 22:00:00,2016-08-31 22:01:18.000
10,2016-08-31,MCL-F,6.0,D,5,10.5,Hexameter,"Ortiz, Irad","Nevin, Michelle",Northern Afleet,Quick Dip,,,,2016-08-31 22:00:00,2016-08-31 22:01:18.000
10,2016-08-31,MCL-F,6.0,D,6,1.4,Jax,"Ortiz, Jose","Brown, Chad",City Zip,Honour and Glory,GP 7-6/26/16 3,,,2016-08-31 22:00:00,2016-08-31 22:01:18.000
10,2016-08-31,MCL-F,6.0,D,7,30.5,Enticing Evening,"Santana, Ricardo","Contessa, Gary",Hansen,Service Stripe,SAR 5-8/15/16 7,,,2016-08-31 22:00:00,2016-08-31 22:01:18.000
10,2016-08-31,MCL-F,6.0,D,8,26.5,Forres Lily,"Geroux, Florent","Jolley, LeRoy",Drosselmeyer,Will's Way,SAR 2-8/21/16 9,,,2016-08-31 22:00:00,2016-08-31 22:01:18.000
10,2016-08-31,MCL-F,6.0,D,9,45.5,Boa Sorte,"Luzzi, Lane","Schettino, Dominick",Backtalk,Street Hero,,,,2016-08-31 22:00:00,2016-08-31 22:01:18.000
10,2016-08-31,MCL-F,6.0,D,10,7.4,Late Night Kiss,"Castellano, Javier","Contessa, Gary",Midnight Lute,Mt. Livermore,,,,2016-08-31 22:00:00,2016-08-31 22:01:18.000
9,2016-09-01,STK-F,8.5,T,1,0.7,Coasted,"Lezcano, Jose","Gyarmati, Leah",Tizway,Malibu Moon,SAR 10-8/7/16 1,,,2016-09-01 21:00:00,2016-09-01 21:01:50.500
9,2016-09-01,STK-F,8.5,T,2,17.1,Noble Ready,"Ortiz, Irad","Clement, Christophe",More Than Ready,Kris S.,DEL 6-7/16/16 1,,,2016-09-01 21:00:00,2016-09-01 21:01:50.500
9,2016-09-01,STK-F,8.5,T,3,5.6,Majestic Bonnie,"Franco, Manuel","Weaver, George",Majestic Warrior,Point Given,SAR 2-7/24/16 1,,,2016-09-01 21:00:00,2016-09-01 21:01:50.500
9,2016-09-01,STK-F,8.5,T,4,8.0,Naifah (IRE),"Ortiz, Jose","Motion, Graham",Kodiac (GB),Dubai Destination,DON 7/14/16 2,,,2016-09-01 21:00:00,2016-09-01 21:01:50.500
9,2016-09-01,STK-F,8.5,T,5,4.9,Bahama Halo,"Castellano, Javier","Pletcher, Todd",More Than Ready,Empire Maker,BEL 1-6/22/16 1,,,2016-09-01 21:00:00,2016-09-01 21:01:50.500
9,2016-09-01,STK-F,8.5,T,6,11.2,Lady Joan,"Saez, Luis","Serpe, Philip",Courageous Cat,Powerscourt (GB),SAR 4-7/25/16 1,,,2016-09-01 21:00:00,2016-09-01 21:01:50.500
9,2016-09-01,STK-F,8.5,T,7,19.3,Mo Promise,"Geroux, Florent","Contessa, Gary",Uncle Mo,Century City (IRE),SAR 4-7/25/16 2,,,2016-09-01 21:00:00,2016-09-01 21:01:50.500
10,2016-09-01,MSW-NY,5.5,D,1,0.9,Haul Anchor,"Alvarado, Junior","McLaughlin, Kiaran",Bernardini,Storm Cat,SAR 2-8/8/16 2,,,2016-09-01 22:00:00,2016-09-01 22:01:11.500
10,2016-09-01,MSW-NY,5.5,D,2,5.7,Mo Maverick,"Franco, Manuel","Weaver, George",Uncle Mo,Lemon Drop Kid,,,,2016-09-01 22:00:00,2016-09-01 22:01:11.500
10,2016-09-01,MSW-NY,5.5,D,3,0.9,Can You Diggit,"Arroyo, Angel","Jerkens, James",Tiznow,Mineshaft,,,,2016-09-01 22:00:00,2016-09-01 22:01:11.500
10,2016-09-01,MSW-NY,5.5,D,4,11.9,D'yer Mak'er,"Santana, Ricardo","Zito, Nicholas",Soaring Empire,Dixie Brass,SAR 6-8/8/16 7,,,2016-09-01 22:00:00,2016-09-01 22:01:11.500
10,2016-09-01,MSW-NY,5.5,D,5,4.0,Jupiter Rising,"Ortiz, Jose","Hushion, Michael",Exchange Rate,Red Ransom,,,,2016-09-01 22:00:00,2016-09-01 22:01:11.500
10,2016-09-01,MSW-NY,5.5,D,6,5.0,Dance Graze,"Castellano, Javier","Schettino, Dominick",Bluegrass Cat,Dance Brightly,,,,2016-09-01 22:00:00,2016-09-01 22:01:11.500
10,2016-09-01,MSW-NY,5.5,D,7,15.9,Salty Slew,"Camacho, Samuel","Farrell, Desmond",Pomeroy,Chief Seattle,,,,2016-09-01 22:00:00,2016-09-01 22:01:11.500
10,2016-09-01,MSW-NY,5.5,D,---,52.0,Party Paradise,"Davis, Jacqueline","Antonucci, Jena",Desert Party,Pulpit,SAR 2-8/8/16 9,,"Pulled up, vanned off",2016-09-01 22:00:00,2016-09-01 22:01:11.500
6,2016-09-02,MSW-F,5.5,T,1,1.85,Black Canary,"Ortiz, Irad","Casse, Mark",War Front,Gold Fever,,,,2016-09-02 18:00:00,2016-09-02 18:01:11.500
6,2016-09-02,MSW-F,5.5,T,2,7.3,Orecchiette,"Castellano, Javier","Pletcher, Todd",Harlan's Holiday,Aldebaran,,,,2016-09-02 18:00:00,2016-09-02 18:01:11.500
6,2016-09-02,MSW-F,5.5,T,3,3.05,Bellavias,"Franco, Manuel","Toner, James",Tapit,Ghostzapper,,,,2016-09-02 18:00:00,2016-09-02 18:01:11.500
6,2016-09-02,MSW-F,5.5,T,4,47.75,Spanker,"Santana, Ricardo","Cannizzo, David",Cape Blanco (IRE),A.P. Delta,,,,2016-09-02 18:00:00,2016-09-02 18:01:11.500
6,2016-09-02,MSW-F,5.5,T,5,14.2,Foreign Affair,"Lezcano, Jose","Martin, Carlos",Exchange Rate,Songandaprayer,,,,2016-09-02 18:00:00,2016-09-02 18:01:11.500
6,2016-09-02,MSW-F,5.5,T,6,15.8,Two Hot Betty,"Rosario, Joel","Adsit, Abigail",Wildcat Heir,Tactical Advantage,,,,2016-09-02 18:00:00,2016-09-02 18:01:11.500
6,2016-09-02,MSW-F,5.5,T,7,5.5,K J Warrior,"Geroux, Florent","Asmussen, Steven",Tapit,Harlan's Holiday,,,,2016-09-02 18:00:00,2016-09-02 18:01:11.500
6,2016-09-02,MSW-F,5.5,T,8,38.0,Matinee Babe,"Cancel, Eric","Cannizzo, David",Scat Daddy,Lemon Drop Kid,,,,2016-09-02 18:00:00,2016-09-02 18:01:11.500
6,2016-09-02,MSW-F,5.5,T,9,12.4,Happy Motoring,"Wilson, Emma-Jayne","Contessa, Gary",Harlan's Holiday,King of Kings (IRE),,,,2016-09-02 18:00:00,2016-09-02 18:01:11.500
6,2016-09-02,MSW-F,5.5,T,10,11.2,Take a Stroll,"Saez, Luis","Ritvo, Katherine",Stroll,Silver Deputy,,,,2016-09-02 18:00:00,2016-09-02 18:01:11.500
3,2016-09-03,MSW,8.5,T,1,2.9,Frostmourne,"Ortiz, Jose","Clement, Christophe",Speightstown,Theatrical (IRE),,,,2016-09-03 15:00:00,2016-09-03 15:01:50.500
3,2016-09-03,MSW,8.5,T,2,32.0,Indy Hill,"Cancel, Eric","Lukas, D. Wayne",English Channel,A.P. Indy,,,,2016-09-03 15:00:00,2016-09-03 15:01:50.500
3,2016-09-03,MSW,8.5,T,3,45.75,Amp'd Up,"Gryder, Aaron","Guilott, Eric",Redding Colliery,Unbridled's Song,,,,2016-09-03 15:00:00,2016-09-03 15:01:50.500
3,2016-09-03,MSW,8.5,T,4,1.0,Apartfromthecrowd,"Castellano, Javier","Brown, Chad",Gio Ponti,Capote,,,,2016-09-03 15:00:00,2016-09-03 15:01:50.500
3,2016-09-03,MSW,8.5,T,5,12.1,He's Cheeky,"Santana, Ricardo","Rodriguez, Rudy",Pioneerof the Nile,Bernardini,,,,2016-09-03 15:00:00,2016-09-03 15:01:50.500
3,2016-09-03,MSW,8.5,T,6,7.4,Piazza Del Campo,"Alvarado, Junior","Mott, William",Gio Ponti,Horse Chestnut (SAF),SAR 2-7/23/16 9,,,2016-09-03 15:00:00,2016-09-03 15:01:50.500
3,2016-09-03,MSW,8.5,T,7,6.1,Ben of the Bridge,"Ortiz, Irad","Reid, Robert",High Cotton,Lord Avie,SAR 1-7/30/16 4,,,2016-09-03 15:00:00,2016-09-03 15:01:50.500
3,2016-09-03,MSW,8.5,T,8,15.7,Cleave,"Franco, Manuel","Ribaudo, Robert",Smart Strike,Harlan,,,,2016-09-03 15:00:00,2016-09-03 15:01:50.500
4,2016-09-03,MSW,7.0,D,1,15.3,Unbridled Eagle,"Franco, Manuel","Lukas, D. Wayne",Mineshaft,Unbridled's Song,SAR 6-8/20/16 7,,,2016-09-03 16:00:00,2016-09-03 16:01:31.000
4,2016-09-03,MSW,7.0,D,2,6.8,Westwood,"Bravo, Joe","McLaughlin, Kiaran",Bernardini,Saint Ballado,,,,2016-09-03 16:00:00,2016-09-03 16:01:31.000
4,2016-09-03,MSW,7.0,D,3,3.6,Altito,"Ortiz, Jose","McGaughey, Claude",Bernardini,Summer Squall,BEL 1-7/9/16 7,,,2016-09-03 16:00:00,2016-09-03 16:01:31.000
4,2016-09-03,MSW,7.0,D,4,5.3,Oxford Circus,"Saez, Luis","Lynch, Brian",Macho Uno,Milwaukee Brew,,,,2016-09-03 16:00:00,2016-09-03 16:01:31.000
4,2016-09-03,MSW,7.0,D,5,2.3,South Sea,"Rosario, Joel","Mott, William",Into Mischief,Empire Maker,SAR 6-7/23/16 4,,,2016-09-03 16:00:00,2016-09-03 16:01:31.000
4,2016-09-03,MSW,7.0,D,6,38.25,Micozzi,"Cancel, Eric","Mareina, Michael",Bodemeister,Distorted Humor,,,,2016-09-03 16:00:00,2016-09-03 16:01:31.000
4,2016-09-03,MSW,7.0,D,7,17.2,La Maquina Gris,"Ortiz, Irad","Asmussen, Steven",The Factor,Empire Maker,,,,2016-09-03 16:00:00,2016-09-03 16:01:31.000
4,2016-09-03,MSW,7.0,D,8,34.25,Small Bear,"Santana, Ricardo","Sciacca, Gary",Macho Uno,El Prado (IRE),,,,2016-09-03 16:00:00,2016-09-03 16:01:31.000
4,2016-09-03,MSW,7.0,D,9,15.5,Spectacular Jack,"Alvarado, Junior","Hennig, Mark",Tapit,Storm Cat,,,,2016-09-03 16:00:00,2016-09-03 16:01:31.000
4,2016-09-03,MSW,7.0,D,10,5.2,Tapwrit,"Castellano, Javier","Pletcher, Todd",Tapit,Successful Appeal,,,,2016-09-03 16:00:00,2016-09-03 16:01:31.000
7,2016-09-03,MSW,7.0,D,1,1.75,Casses Story,"Ortiz, Jose","Casse, Mark",Bernardini,More Than Ready,SAR 6-8/6/16 2,,,2016-09-03 19:00:00,2016-09-03 19:01:31.000
7,2016-09-03,MSW,7.0,D,2,8.1,You're to Blame,"Castellano, Javier","Brown, Chad",Distorted Humor,Malibu Moon,MTH 3-7/31/16 5,,,2016-09-03 19:00:00,2016-09-03 19:01:31.000
7,2016-09-03,MSW,7.0,D,3,15.1,Borsa Vento,"Saez, Luis","Zito, Nicholas",Uncle Mo,Crafty Prospector,SAR 2-8/6/16 8,,,2016-09-03 19:00:00,2016-09-03 19:01:31.000
7,2016-09-03,MSW,7.0,D,4,8.4,Spieth,"Alvarado, Junior","McLaughlin, Kiaran",Bernardini,Unbridled's Song,,,,2016-09-03 19:00:00,2016-09-03 19:01:31.000
7,2016-09-03,MSW,7.0,D,5,6.5,Outrun,"Velazquez, John","Pletcher, Todd",Medaglia d'Oro,A.P. Indy,,,,2016-09-03 19:00:00,2016-09-03 19:01:31.000
7,2016-09-03,MSW,7.0,D,6,22.8,Hay Listen Up,"Cancel, Eric","Lukas, D. Wayne",Haynesfield,Kennedy Road,SAR 3-8/11/16 6,,,2016-09-03 19:00:00,2016-09-03 19:01:31.000
7,2016-09-03,MSW,7.0,D,7,3.5,Kahramani,"Ortiz, Irad","Pletcher, Todd",Haynesfield,Hernando (FR),SAR 3-7/30/16 3,,,2016-09-03 19:00:00,2016-09-03 19:01:31.000
7,2016-09-03,MSW,7.0,D,8,16.4,Whole Lotta Luck,"Franco, Manuel","Stewart, Dallas",Lookin at Lucky,Broad Brush,,,,2016-09-03 19:00:00,2016-09-03 19:01:31.000
7,2016-09-03,MSW,7.0,D,9,42.25,Port More,"Santana, Ricardo","Sciacca, Gary",Gone Astray,Red Bullet,SAR 3-7/30/16 5,,,2016-09-03 19:00:00,2016-09-03 19:01:31.000
7,2016-09-03,MSW,7.0,D,10,11.8,Mohican,"Rosario, Joel","Mott, William",Pioneerof the Nile,Cherokee Run,,,,2016-09-03 19:00:00,2016-09-03 19:01:31.000
9,2016-09-03,GRD-F,7.0,D,1,3.75,Sweet Loretta,"Castellano, Javier","Pletcher, Todd",Tapit,Bluegrass Cat,SAR 8-7/22/16 1,,Dead heat,2016-09-03 21:00:00,2016-09-03 21:01:31.000
9,2016-09-03,GRD-F,7.0,D,1,4.8,Pretty City Dancer,"Ortiz, Irad","Casse, Mark",Tapit,Carson City,CD 8-7/2/16 1,,Dead heat,2016-09-03 21:00:00,2016-09-03 21:01:31.000
9,2016-09-03,GRD-F,7.0,D,3,1.0,Cherry Lodge,"Velazquez, John","Pletcher, Todd",Bernardini,Carson City,SAR 6-8/7/16 1,,,2016-09-03 21:00:00,2016-09-03 21:01:31.000
9,2016-09-03,GRD-F,7.0,D,4,17.4,Fun,"Alvarado, Junior","Wilkes, Ian",Harlan's Holiday,Empire Maker,SAR 8-7/22/16 2,,,2016-09-03 21:00:00,2016-09-03 21:01:31.000
9,2016-09-03,GRD-F,7.0,D,5,35.75,You Know Too,"Saez, Luis","Gorham, Michael",Colonel John,Pulpit,DEL 8-8/3/16 2,,,2016-09-03 21:00:00,2016-09-03 21:01:31.000
9,2016-09-03,GRD-F,7.0,D,6,3.8,Runway Doll,"Ortiz, Jose","Asmussen, Steven",Majestic Warrior,Boundary,SAR 7-7/31/16 1,,,2016-09-03 21:00:00,2016-09-03 21:01:31.000
9,2016-09-03,GRD-F,7.0,D,7,36.5,Special Risk,"Rosario, Joel","Rodriguez, Rudy",Eskendereya,Macho Uno,SAR 6-7/22/16 2,,,2016-09-03 21:00:00,2016-09-03 21:01:31.000
4,2016-09-04,MSW,6.0,D,1,4.1,Moves Like Ali,"Ortiz, Irad","Englehart, Jeremiah",Maclean's Music,Even the Score,,,,2016-09-04 16:00:00,2016-09-04 16:01:18.000
4,2016-09-04,MSW,6.0,D,2,11.7,Irst,"Castellano, Javier","Pletcher, Todd",Union Rags,Bernardini,,,,2016-09-04 16:00:00,2016-09-04 16:01:18.000
4,2016-09-04,MSW,6.0,D,3,6.8,Best Case,"Santana, Ricardo","Asmussen, Steven",Successful Appeal,Distorted Humor,,,,2016-09-04 16:00:00,2016-09-04 16:01:18.000
4,2016-09-04,MSW,6.0,D,4,2.8,Commandering,"Velazquez, John","Pletcher, Todd",Bodemeister,Medaglia d'Oro,,,,2016-09-04 16:00:00,2016-09-04 16:01:18.000
4,2016-09-04,MSW,6.0,D,5,3.05,Lenstar,"Ortiz, Jose","Zito, Nicholas",Shackleford,Cryptoclearance,SAR 6-8/6/16 4,,,2016-09-04 16:00:00,2016-09-04 16:01:18.000
4,2016-09-04,MSW,6.0,D,6,12.8,Millenial,"Rosario, Joel","Lukas, D. Wayne",Speightstown,A.P. Indy,SAR 6-8/24/16 5,,,2016-09-04 16:00:00,2016-09-04 16:01:18.000
4,2016-09-04,MSW,6.0,D,7,13.2,Dupree,"Geroux, Florent","Moquett, Ron",Caleb's Posse,More Than Ready,,,,2016-09-04 16:00:00,2016-09-04 16:01:18.000
4,2016-09-04,MSW,6.0,D,8,43.0,Robbins,"Franco, Manuel","Albetrani, Thomas",Girolamo,Salt Lake,,,,2016-09-04 16:00:00,2016-09-04 16:01:18.000
4,2016-09-04,MSW,6.0,D,9,14.3,Classic Rock,"Saez, Luis","Ritvo, Katherine",Maclean's Music,High Yield,,,,2016-09-04 16:00:00,2016-09-04 16:01:18.000
4,2016-09-04,MSW,6.0,D,10,18.5,True Valor,"Alvarado, Junior","Desormeaux, Keith",Yes It's True,Grand Slam,SAR 6-8/6/16 7,,,2016-09-04 16:00:00,2016-09-04 16:01:18.000
6,2016-09-04,MSW-NY,5.5,T,1,2.35,New York's Finest,"Ortiz, Jose","Rice, Linda",City Zip,Yes It's True,SAR 6-8/6/16 6,,,2016-09-04 18:00:00,2016-09-04 18:01:11.500
6,2016-09-04,MSW-NY,5.5,T,2,2.0,Jo's Bold Cat,"Saez, Luis","Violette, Rick",Courageous Cat,Chester House,SAR 5-7/29/16 2,,,2016-09-04 18:00:00,2016-09-04 18:01:11.500
6,2016-09-04,MSW-NY,5.5,T,3,18.9,Baltic Sea,"Bravo, Joe","Brown, Bruce",Cosmonaut,Salt Lake,,,,2016-09-04 18:00:00,2016-09-04 18:01:11.500
6,2016-09-04,MSW-NY,5.5,T,4,3.95,Song for the Soul,"Rosario, Joel","Ward, Wesley",Freud,Unbridled's Song,SAR 5-7/28/16 2,,,2016-09-04 18:00:00,2016-09-04 18:01:11.500
6,2016-09-04,MSW-NY,5.5,T,5,4.2,Summer Sweet,"Velazquez, John","Clement, Christophe",More Than Ready,Caerleon,BEL 2-7/3/16 4,,,2016-09-04 18:00:00,2016-09-04 18:01:11.500
6,2016-09-04,MSW-NY,5.5,T,6,51.75,What R U Doing Now,"Luzzi, Michael","Brown, Bruce",Afleet Alex,Lemon Drop Kid,,,,2016-09-04 18:00:00,2016-09-04 18:01:11.500
6,2016-09-04,MSW-NY,5.5,T,7,10.2,T Loves a Fight,"Ortiz, Irad","Hushion, Michael",Girolamo,Broken Vow,,,,2016-09-04 18:00:00,2016-09-04 18:01:11.500
6,2016-09-04,MSW-NY,5.5,T,8,66.0,Our Twist of Fate,"Camacho, Samuel","Del Castillo, Janet",Super Saver,Mt. Livermore,,,,2016-09-04 18:00:00,2016-09-04 18:01:11.500
8,2016-09-04,MSW-F,7.0,D,1,23.5,For Honor,"Santana, Ricardo","Weaver, George",To Honor and Serve,Empire Maker,,,,2016-09-04 20:00:00,2016-09-04 20:01:31.000
8,2016-09-04,MSW-F,7.0,D,2,10.6,Momentiempo,"Franco, Manuel","Toner, James",Medaglia d'Oro,Kris S.,,,,2016-09-04 20:00:00,2016-09-04 20:01:31.000
8,2016-09-04,MSW-F,7.0,D,3,2.6,Devine Union,"Castellano, Javier","Brown, Chad",Union Rags,Summer Squall,,,,2016-09-04 20:00:00,2016-09-04 20:01:31.000
8,2016-09-04,MSW-F,7.0,D,4,2.8,Teresa Z,"Velazquez, John","Pletcher, Todd",Smart Strike,A.P. Indy,SAR 2-7/24/16 4,,,2016-09-04 20:00:00,2016-09-04 20:01:31.000
8,2016-09-04,MSW-F,7.0,D,5,8.9,Bid List,"Ortiz, Jose","Asmussen, Steven",Ghostzapper,Bernardini,,,,2016-09-04 20:00:00,2016-09-04 20:01:31.000
8,2016-09-04,MSW-F,7.0,D,6,12.7,Rollover Risk,"Geroux, Florent","Stall, Albert",First Samurai,Outflanker,,,,2016-09-04 20:00:00,2016-09-04 20:01:31.000
8,2016-09-04,MSW-F,7.0,D,7,65.25,Double Cast,"Luzzi, Michael","O'Brien, Leo",Broken Vow,Theatrical (IRE),,,,2016-09-04 20:00:00,2016-09-04 20:01:31.000
8,2016-09-04,MSW-F,7.0,D,8,9.4,Krazy Kathy,"Ortiz, Irad","Rodriguez, Rudy",Harlan's Holiday,Unbridled's Song,,,,2016-09-04 20:00:00,2016-09-04 20:01:31.000
8,2016-09-04,MSW-F,7.0,D,9,5.6,Malibu Stella,"Bravo, Joe","Wismer, Troy",Malibu Moon,Touch Gold,SAR 5-8/12/16 2,,,2016-09-04 20:00:00,2016-09-04 20:01:31.000
8,2016-09-04,MSW-F,7.0,D,10,9.9,Mint Condition,"Rosario, Joel","McLaughlin, Kiaran",Hard Spun,Malibu Moon,,,,2016-09-04 20:00:00,2016-09-04 20:01:31.000
2,2016-09-05,MSW-F-NY,7.0,D,1,5.0,Bree's Got Heart,"Arroyo, Angel","Reid, Robert",Colonel John,Put It Back,SAR 6-8-10/16 2,,,2016-09-05 14:00:00,2016-09-05 14:01:31.000
2,2016-09-05,MSW-F-NY,7.0,D,2,3.5,Strawberry Tequila,"Saez, Luis","Brown, Bruce",Daaher,Dayjur,,,,2016-09-05 14:00:00,2016-09-05 14:01:31.000
2,2016-09-05,MSW-F-NY,7.0,D,3,18.5,Indian Gem,"Geroux, Florent","Mason, Ingrid",Gemologist,Indian Charlie,,,,2016-09-05 14:00:00,2016-09-05 14:01:31.000
2,2016-09-05,MSW-F-NY,7.0,D,4,8.6,Frosty Gal,"Franco, Manuel","Tagg, Barclay",Frost Giant,Jump Start,SAR 4-7/25/16 8,,,2016-09-05 14:00:00,2016-09-05 14:01:31.000
2,2016-09-05,MSW-F-NY,7.0,D,5,3.35,Swing and Sway,"Santana, Ricardo","Moquett, Ron",Maclean's Music,Gilded Time,,,,2016-09-05 14:00:00,2016-09-05 14:01:31.000
2,2016-09-05,MSW-F-NY,7.0,D,6,8.5,Mini Megan,"Ortiz, Irad","Rodriguez, Rudy",Frost Giant,Powerscourt (GB),,,,2016-09-05 14:00:00,2016-09-05 14:01:31.000
2,2016-09-05,MSW-F-NY,7.0,D,7,14.1,Kabuki,"Lezcano, Jose","Lewis, Lisa",Afleet Alex,Kingmambo,SAR 4-7/25/16 6,,,2016-09-05 14:00:00,2016-09-05 14:01:31.000
2,2016-09-05,MSW-F-NY,7.0,D,8,2.95,Moondance,"Velazquez, John","McLaughlin, Kiaran",Malibu Moon,Tabasco Cat,,,,2016-09-05 14:00:00,2016-09-05 14:01:31.000
3,2016-09-05,MSW,8.5,T,1,2.6,J. S. Choice,"Ortiz, Irad","Pletcher, Todd",Congrats,Empire Maker,SAR 2-8/13/16 5,,,2016-09-05 15:00:00,2016-09-05 15:01:50.500
3,2016-09-05,MSW,8.5,T,2,7.1,Data Room,"Castellano, Javier","Brown, Chad",Union Rags,Seeking the Gold,,,,2016-09-05 15:00:00,2016-09-05 15:01:50.500
3,2016-09-05,MSW,8.5,T,3,9.8,Now in a Drive,"Saez, Luis","Lynch, Brian",Tiznow,Belong to Me,,,,2016-09-05 15:00:00,2016-09-05 15:01:50.500
3,2016-09-05,MSW,8.5,T,4,2.3,Panama Papers,"Franco, Manuel","Hushion, Michael",English Channel,Elusive Quality,SAR 1-8/6/16 2,,,2016-09-05 15:00:00,2016-09-05 15:01:50.500
3,2016-09-05,MSW,8.5,T,5,9.6,Markitoff,"Lezcano, Jose","Rice, Linda",Giant's Causeway,Ghostzapper,,,,2016-09-05 15:00:00,2016-09-05 15:01:50.500
3,2016-09-05,MSW,8.5,T,6,27.5,Menacing Dennis,"Alvarado, Junior","Sciacca, Gary",Greatness,Lost Soldier,SAR 2-8/13/16 8,,,2016-09-05 15:00:00,2016-09-05 15:01:50.500
3,2016-09-05,MSW,8.5,T,7,20.5,Giant Brownie,"Santana, Ricardo","Contessa, Gary",Big Brown,Woodman,SAR 1-8/6/16 8,,,2016-09-05 15:00:00,2016-09-05 15:01:50.500
3,2016-09-05,MSW,8.5,T,8,43.0,Saratoga San,"Davis, Dylan","Desormeaux, Keith",Broken Vow,Notebook,MTH 3-7/31/16 8,,,2016-09-05 15:00:00,2016-09-05 15:01:50.500
3,2016-09-05,MSW,8.5,T,9,3.95,Majestic Tom,"Ortiz, Jose","Barbara, Robert",Eskendereya,Afternoon Deelites,SAR 1-7/30/16 5,,,2016-09-05 15:00:00,2016-09-05 15:01:50.500
6,2016-09-05,MSW-F,8.5,T,1,6.5,La Coronel,"Geroux, Florent","Casse, Mark",Colonel John,Chester House,SAR 6-7/22/16 5,,,2016-09-05 18:00:00,2016-09-05 18:01:50.500
6,2016-09-05,MSW-F,8.5,T,2,1.85,New Money Honey,"Castellano, Javier","Brown, Chad",Medaglia d'Oro,Distorted Humor,,,,2016-09-05 18:00:00,2016-09-05 18:01:50.500
6,2016-09-05,MSW-F,8.5,T,3,3.7,Starr Bear,"Saez, Luis","Cox, Brad",Broken Vow,Dixieland Band,CD 6-6/24/16 3,,,2016-09-05 18:00:00,2016-09-05 18:01:50.500
